unidadEjecutora;fechaEvento;perdidaBruta;recuperacion;perdidaReconocida;detalleNivel3;detalleNivel2;detalleNivel1;causa
Unidad de Cumplimiento;10-sept-17;378.18;0.00;378.18;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad Legal;2-abr-19;879.55;0.00;879.55;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;10-oct-18;27.23;0.00;27.23;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;26-jul-18;2394.83;0.00;2394.83;7.5.2 - Otros litigios con contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Costa Rica;20-jun-17;260.13;0.00;260.13;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Panamá;4-mar-16;47.16;0.00;47.16;3.2.3 - Indemnización a los trabajadores;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;22-dic-16;1881.49;0.00;1881.49;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;14-jun-15;156.01;0.00;156.01;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;16-sept-15;96.37;0.00;96.37;7.1.4 - Ejecución errónea de modelos / sistemas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Nicaragua;15-sept-15;597.73;0.00;597.73;1.1.2 - Operaciones no autorizadas (con pérdidas pecuniarias);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;23-ago-17;71.40;0.00;71.40;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;15-mar-19;472.97;320.97;152.00;1.2.4 - Destrucción dolosa de activos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Proyectos;30-sept-19;201.00;0.00;201.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios El Salvador;4-ago-17;1576.15;0.00;1576.15;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Finanzas y Contabilidad;21-sept-18;1693.96;0.00;1693.96;7.5.1 - Fallos de contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;18-dic-18;398.25;0.00;398.25;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Operaciones  -Préstamos;2-feb-20;348.30;0.00;348.30;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;25-feb-19;33.00;0.00;33.00;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;5-dic-16;267.16;0.00;267.16;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;7-nov-15;1020.00;0.00;1020.00;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;5-jun-17;102.35;0.00;102.35;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;22-ene-19;266.28;0.00;266.28;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;13-mar-17;21.40;0.00;21.40;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Finanzas y Contabilidad;28-sept-18;45.46;0.00;45.46;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;25-may-18;912.82;0.00;912.82;7.5.2 - Otros litigios con contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Panamá;19-abr-15;299.12;0.00;299.12;7.1.3 - Incumplimiento de plazos o de responsabilidades;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;16-may-17;110.76;0.00;110.76;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;18-abr-17;610.68;0.00;610.68;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;4-oct-16;225.00;0.00;225.00;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Finanzas y Contabilidad;23-feb-16;34.22;0.00;34.22;7.6.2 - Litigios con distribuidores;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;12-jun-15;81.65;0.00;81.65;4.1.1 - Abusos de confianza / incumplimiento de pautas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;2-jun-17;39.70;0.00;39.70;1.1.2 - Operaciones no autorizadas (con pérdidas pecuniarias);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;9-abr-17;76.59;0.00;76.59;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;29-dic-16;202.52;0.00;202.52;7.3.2 - Documentos jurídicos inexistentes / incompletos;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;21-nov-17;118.52;0.00;118.52;4.2.4 - Actividades no autorizadas;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;14-may-16;107.19;0.00;107.19;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;13-may-15;175.46;0.00;175.46;7.1.6 - Errores en otras tareas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;9-ene-16;975.50;0.00;975.50;4.2.4 - Actividades no autorizadas;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;24-feb-16;618.54;0.00;618.54;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;26-dic-17;65.35;0.00;65.35;7.4.1 - Acceso no autorizado a cuentas;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;10-feb-19;55.00;0.00;55.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Finanzas y Contabilidad;11-mar-18;13.00;0.00;13.00;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;27-feb-16;28.80;0.00;28.80;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Calidad y Productividad;7-feb-16;139.79;0.00;139.79;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;28-feb-18;94.54;0.00;94.54;3.3.1 - Todo tipo de discriminación;3.3 - Diversidad y discriminación;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;14-jun-19;697.00;0.00;697.00;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones;15-feb-17;587.50;0.00;587.50;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Calidad y Productividad;28-ene-19;109.01;0.00;109.01;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Tecnología;31-ene-16;268.89;0.00;268.89;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Proyectos;28-jun-16;268.98;0.00;268.98;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;18-jun-19;1032.02;0.00;1032.02;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Auditoría Interna;1-mar-17;907.11;0.00;907.11;4.1.8 - Responsabilidad del prestamista;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Corporativa;24-jun-17;4701.26;0.00;4701.26;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Administración y Recursos Humanos;14-jun-16;182.25;0.00;182.25;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Operaciones;19-abr-16;327.11;40.11;287.00;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;23-ago-19;767.68;0.00;767.68;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones;12-ene-18;206.84;0.00;206.84;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Negocios Guatemala;31-may-16;3448.64;0.00;3448.64;4.2.1 - Prácticas restrictivas de la competencia;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;18-jul-18;191.87;0.00;191.87;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;12-mar-15;1374.86;0.00;1374.86;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;18-jun-16;121.50;121.50;0.00;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;16-jul-16;896.13;0.00;896.13;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Riesgos;31-oct-18;175.95;0.00;175.95;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Auditoría Interna;24-ene-16;341.72;0.00;341.72;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Finanzas y Contabilidad;22-sept-18;511.00;0.00;511.00;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones  -Préstamos;21-dic-15;131.40;0.00;131.40;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;13-sept-16;100.53;0.00;100.53;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Guatemala;14-ago-18;187.73;0.00;187.73;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;6-feb-20;244.03;0.00;244.03;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;15-abr-17;559.06;0.00;559.06;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;28-sept-18;129.00;0.00;129.00;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Costa Rica;1-nov-15;380.83;0.00;380.83;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Panamá;21-dic-15;84.75;0.00;84.75;4.4.2 - Superación de los límites de riesgo frente a clientes;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;12-feb-17;552.21;0.00;552.21;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;9-ene-17;239.96;0.00;239.96;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Tecnología;14-abr-19;42.67;0.00;42.67;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Negocios Nicaragua;27-ene-20;2256.52;0.00;2256.52;4.2.5 - Blanqueo de dinero;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;29-mar-17;1264.93;0.00;1264.93;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios El Salvador;29-oct-18;176.79;3.81;172.98;2.1.2 - Falsificación;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Auditoría Interna;28-dic-15;1696.59;0.00;1696.59;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Finanzas y Contabilidad;20-nov-18;251.89;0.00;251.89;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;9-sept-17;1513.29;0.00;1513.29;7.4.2 - Registros incorrectos de clientes (con generación de pérdidas);7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;25-abr-15;67.35;0.00;67.35;7.1.1 - Comunicación defectuosa;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;7-oct-17;53.71;0.00;53.71;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;7-dic-17;138.15;0.00;138.15;7.1.6 - Errores en otras tareas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Nicaragua;18-feb-20;249.86;91.64;158.22;4.1.3 - Quebrantamiento de la privacidad de información sobre clientes minoristas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Tecnología;12-sept-15;198.88;12.49;186.39;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;22-dic-16;208.37;0.00;208.37;7.1.5 - Error contable / atribución a entidades erróneas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;28-abr-16;814.81;0.00;814.81;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Guatemala;10-sept-15;280.83;0.00;280.83;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Cumplimiento;29-feb-16;297.10;0.00;297.10;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;4-abr-16;87.88;0.00;87.88;4.1.4 - Quebrantamiento de privacidad;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Nicaragua;2-mar-17;52.10;0.00;52.10;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;27-nov-16;482.10;0.00;482.10;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;12-jun-17;253.25;0.00;253.25;4.4.1 - Ausencia de investigación a clientes conforme a las directrices;4.4 - Selección, patrocinio y riesgos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones;7-nov-18;124.00;0.00;124.00;4.1.3 - Quebrantamiento de la privacidad de información sobre clientes minoristas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Tecnología;24-ago-16;63.94;0.00;63.94;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;10-ago-17;64.01;30.59;33.42;7.4.3 - Pérdida o daño de activos de clientes por negligencia;7.4 - Gestión de cuentas de clientes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad Legal;5-ene-17;284.00;0.00;284.00;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;2-dic-19;1173.54;0.00;1173.54;2.1.1 - Hurto/ robo;2.1 - Hurto y fraude;2 - Fraude externo;Eventos externos
Unidad de Tecnología;25-mar-15;291.20;0.00;291.20;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Tecnología;23-dic-17;340.36;0.00;340.36;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones;25-dic-16;164.97;0.00;164.97;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;25-abr-15;623.00;0.00;623.00;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;23-oct-17;863.60;0.00;863.60;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Auditoría Interna;11-oct-17;134.18;41.77;92.41;7.3.1 - Inexistencia de autorizaciones / rechazos de clientes;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;7-mar-19;171.00;0.00;171.00;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;12-jul-15;42.58;0.00;42.58;1.2.8 - Apropiación de cuentas, de identidad, etc.;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad Legal;14-ago-18;232.75;0.00;232.75;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;10-ene-16;1344.58;0.00;1344.58;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;28-jul-17;370.44;0.00;370.44;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Finanzas y Contabilidad;1-nov-18;1574.00;0.00;1574.00;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;20-dic-18;26.19;0.00;26.19;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Administración y Recursos Humanos;9-feb-17;139.13;26.43;112.70;3.2.1 - Responsabilidad en general (resbalones, etc.);3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Administración y Recursos Humanos;13-jul-17;492.97;0.00;492.97;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;15-jun-18;68.66;0.00;68.66;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;20-jul-16;502.40;0.00;502.40;7.3.1 - Inexistencia de autorizaciones / rechazos de clientes;7.3 - Aceptación de  clientes y documentación;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;18-jul-18;368.00;0.00;368.00;3.2.2 - Casos relacionados con normas higiene y seguridad de trabajo;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Administración y Recursos Humanos;25-may-16;49.72;0.00;49.72;7.2.1 - Incumplimiento de la obligación de informar;7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad Legal;31-mar-16;212.81;0.00;212.81;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;29-nov-18;780.19;0.00;780.19;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones  -Préstamos;3-may-18;63.19;0.00;63.19;7.1.9 - Mantenimiento de datos de referencia;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;21-may-15;35.10;0.00;35.10;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Operaciones;27-jun-15;241.00;0.00;241.00;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios El Salvador;4-ago-15;570.61;0.00;570.61;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Guatemala;2-abr-16;82.87;0.00;82.87;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Costa Rica;9-abr-16;1303.88;0.00;1303.88;5.1.1 - Pérdidas por desastres naturales;5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Operaciones;25-abr-15;442.75;0.00;442.75;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;22-sept-16;323.93;0.00;323.93;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Corporativa;17-jun-15;641.24;0.00;641.24;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Operaciones  -Préstamos;7-ago-19;590.06;0.00;590.06;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;17-mar-16;359.19;0.00;359.19;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;7-ago-17;86.01;0.00;86.01;3.1.2 - Organización laboral;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Administración y Recursos Humanos;6-mar-16;792.68;0.00;792.68;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;10-dic-17;52.11;0.00;52.11;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Costa Rica;21-nov-16;235.08;0.00;235.08;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;4-feb-18;338.27;0.00;338.27;4.1.1 - Abusos de confianza / incumplimiento de pautas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Auditoría Interna;31-dic-16;602.72;0.00;602.72;7.6.1 - Subcontratación;7.6 - Distribuidores y proveedores;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Cumplimiento;8-ene-17;4780.23;0.00;4780.23;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;21-nov-19;101.18;0.00;101.18;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;7-ago-18;307.16;0.00;307.16;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
