"","area","prov","sexo","f1_s2_8_1","region","etnia","gedad_meses","f1_s1_1","f1_s1_2","f1_s1_3","f1_s1_4","f1_s1_5","f1_s1_6_1","f1_s1_6_2","f1_s1_6_3","f1_s1_9","f1_s1_11","f1_s1_12","f1_s1_13","f1_s1_21","f1_s1_24","f1_s1_25","f1_s1_42","f1_s1_43","f1_s1_44_1","f1_s1_44_2","f1_s1_44_3","f1_s1_44_4","f1_s1_44_5","f1_s1_44_6","f1_s1_44_7","f1_s1_44_10","f1_s6_1_1","f1_s6_1_2","f1_s6_1_3","dcronica"
"18434","Urbano","Pr_23","Mujer","Ninguno","Costa","3","1","Empedrado","Depar","Hormigon","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","NO","SI","NO","NO","SI","NO","SI","NO","SI","DCI_0"
"8415","Urbano","Pr_11","Hombre","Ninguno","Costa","3","2","Carretera","Mediagua","Hormigon","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_1"
"20117","Urbano","Pr_24","Mujer","Ninguno","Sierra","3","4","Lastrado","Choza","Zinc","Tierra","Cania","Malo","Malo","Malo","Gas","Municipio","NoTiene","Alcantarillado","RedPublica","TuberiaFueraDentro","Ebotellada","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"15061","Urbano","Pr_18","Hombre","IESSGen","Costa","3","3","Carretera","Casa","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15614","Rural","Pr_19","Mujer","Ninguno","Oriente","3","2","Lastrado","Rancho","Zinc","Cemento","Madera","Regular","Malo","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_0"
"1120","Rural","Pr_03","Hombre","IESSGen","Costa","3","1","Lastrado","Casa","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","SI","SI","SI","SI","NO","SI","SI","SI","DCI_0"
"16525","Urbano","Pr_21","Mujer","IESSGen","Oriente","4","5","Empedrado","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","NO","NO","SI","NO","NO","NO","SI","DCI_0"
"10143","Urbano","Pr_12","Hombre","IESSGen","Sierra","5","5","Empedrado","Casa","Hormigon","Cemento","Hormigon","Regular","Regular","Regular","Electricidad","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"4118","Urbano","Pr_07","Hombre","Ninguno","Sierra","3","7","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"13878","Urbano","Pr_16","Mujer","IESSGen","Oriente","3","4","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"7027","Urbano","Pr_09","Mujer","Ninguno","Sierra","3","1","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","NO","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"2988","Urbano","Pr_06","Hombre","Ninguno","Costa","3","7","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Pila","SI","SI","SI","SI","NO","SI","SI","SI","SI","SI","NO","NO","NO","DCI_1"
"18464","Urbano","Pr_23","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"6619","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","2","Otro","Depar","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"8844","Rural","Pr_11","Hombre","Campesino","Costa","3","4","Lastrado","Casa","Teja","Cemento","Asbesto","Regular","Regular","Regular","Lenia","Queman","ExclusivoHogar","PozoSeptico","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"14951","Urbano","Pr_18","Mujer","IESSGen","Costa","3","8","Carretera","Depar","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"12651","Urbano","Pr_15","Mujer","Ninguno","Oriente","3","2","Carretera","Cuarto","Hormigon","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","Compartido","Alcantarillado","RedPublica","TuberiaFueraDentro","Ebotellada","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","DCI_0"
"12333","Rural","Pr_14","Mujer","ISSFA","Oriente","1","7","Lastrado","Cuarto","Zinc","Tabla","Madera","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","DCI_1"
"13785","Rural","Pr_16","Mujer","Ninguno","Oriente","3","7","Lastrado","Casa","Zinc","Cemento","Madera","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"9095","Urbano","Pr_12","Mujer","Ninguno","Sierra","3","2","Lastrado","Casa","Zinc","Tabla","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"12744","Rural","Pr_15","Hombre","Ninguno","Oriente","1","3","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Municipio","NoTiene","NoTiene","Otro","Otro","Lluvia","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","DCI_1"
"18542","Urbano","Pr_23","Mujer","Ninguno","Costa","3","3","Lastrado","Rancho","Zinc","Tierra","Cania","Regular","Regular","Malo","Gas","Municipio","Compartido","Alcantarillado","Pozo","Otro","PozoEntubado","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"9398","Rural","Pr_12","Mujer","IESSGen","Sierra","5","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Regular","Gas","Queman","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","SI","DCI_1"
"10936","Urbano","Pr_13","Mujer","IESSGen","Sierra","5","1","Carretera","Depar","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","Pozo","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"2074","Rural","Pr_04","Hombre","Ninguno","Costa","3","8","Carretera","Mediagua","Asbesto","Cemento","Adobe","Malo","Malo","Regular","Gas","Municipio","Compartido","Alcantarillado","Tuberia","DentroVivienda","Tuberia","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","SI","DCI_1"
"20047","Urbano","Pr_24","Mujer","IESSGen","Sierra","3","1","Carretera","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","NO","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"4055","Urbano","Pr_07","Hombre","Ninguno","Sierra","3","8","Carretera","Depar","Zinc","Ceramica","Hormigon","Regular","Bueno","Bueno","Gas","Municipio","Compartido","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"12772","Rural","Pr_15","Hombre","Ninguno","Oriente","1","8","Sendero","Rancho","Zinc","Tabla","Madera","Malo","Malo","Malo","Lenia","Calle","NoTiene","NoTiene","Otro","Otro","Lluvia","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"7177","Rural","Pr_09","Mujer","Ninguno","Sierra","3","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"5595","Urbano","Pr_08","Hombre","Ninguno","Sierra","3","3","Lastrado","Depar","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"8379","Urbano","Pr_11","Mujer","Ninguno","Costa","3","8","Carretera","Casa","Teja","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","NO","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"10296","Urbano","Pr_12","Mujer","Ninguno","Sierra","3","7","Lastrado","Casa","Zinc","Cemento","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"8764","Rural","Pr_11","Hombre","Campesino","Costa","3","4","Carretera","Casa","Asbesto","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"960","Urbano","Pr_02","Hombre","Ninguno","Costa","3","2","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"8422","Urbano","Pr_11","Hombre","Ninguno","Costa","3","1","Carretera","Depar","Hormigon","Duela","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"11927","Urbano","Pr_14","Hombre","Ninguno","Oriente","3","8","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Bueno","Malo","Lenia","Queman","NoTiene","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"3375","Urbano","Pr_06","Mujer","Ninguno","Costa","3","6","Carretera","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","SI","NO","SI","NO","NO","SI","SI","SI","NO","NO","SI","NO","NO","DCI_1"
"19195","Urbano","Pr_23","Hombre","Ninguno","Costa","3","1","Empedrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","NO","SI","SI","SI","NO","NO","DCI_0"
"18675","Urbano","Pr_23","Hombre","Ninguno","Costa","3","1","Carretera","Casa","Hormigon","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_1"
"15092","Urbano","Pr_18","Mujer","Ninguno","Costa","3","3","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Regular","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","SI","SI","SI","NO","SI","SI","SI","DCI_0"
"16114","Rural","Pr_20","Mujer","IESSGen","Insular","3","8","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"13251","Rural","Pr_15","Mujer","IESSGen","Oriente","3","1","Lastrado","Mediagua","Zinc","Tabla","Madera","Malo","Malo","Malo","Gas","Municipio","NoTiene","NoTiene","Tuberia","DentroVivienda","Tuberia","NO","SI","SI","NO","SI","SI","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"666","Rural","Pr_02","Mujer","Ninguno","Costa","1","6","Lastrado","Mediagua","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Queman","NoTiene","NoTiene","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"2052","Rural","Pr_04","Mujer","Ninguno","Costa","2","1","Lastrado","Casa","Teja","Cemento","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","Tuberia","DentroVivienda","Tuberia","SI","SI","SI","SI","NO","SI","NO","SI","SI","SI","SI","NO","SI","DCI_0"
"4913","Urbano","Pr_07","Mujer","IESSGen","Sierra","3","8","Carretera","Cuarto","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"13326","Urbano","Pr_16","Mujer","IESSGen","Oriente","3","3","Lastrado","Casa","Zinc","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"92","Urbano","Pr_01","Hombre","IESSGen","Costa","3","7","Carretera","Casa","Hormigon","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_1"
"1811","Rural","Pr_04","Hombre","Campesino","Costa","2","6","Lastrado","Casa","Asbesto","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Queman","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","SI","NO","SI","DCI_0"
"19790","Urbano","Pr_24","Mujer","IESSGen","Sierra","3","1","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","NO","SI","SI","NO","SI","NO","SI","DCI_0"
"3826","Urbano","Pr_07","Hombre","IESSGen","Sierra","3","4","Lastrado","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","Repartidor","Otro","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"2927","Urbano","Pr_06","Hombre","Ninguno","Costa","1","1","Carretera","Cuarto","Hormigon","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","Compartido","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","DCI_1"
"2556","Urbano","Pr_05","Hombre","Ninguno","Costa","3","8","Carretera","Mediagua","Hormigon","Cemento","Asbesto","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"1211","Rural","Pr_03","Mujer","IESSGen","Costa","3","3","Empedrado","Casa","Hormigon","Tabla","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","NO","SI","SI","SI","SI","SI","SI","NO","NO","DCI_1"
"5789","Rural","Pr_08","Mujer","Campesino","Sierra","4","5","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","Pozo","Otro","PozoEntubado","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"6507","Urbano","Pr_09","Mujer","Ninguno","Sierra","2","1","Carretera","Casa","Hormigon","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"17608","Rural","Pr_22","Mujer","IESSGen","Oriente","3","6","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Entierran","NoTiene","PozoSeptico","Repartidor","Otro","Repartidor","NO","SI","SI","NO","NO","SI","NO","SI","SI","NO","SI","SI","SI","DCI_1"
"2133","Rural","Pr_04","Hombre","Ninguno","Costa","3","3","Carretera","Casa","Teja","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"10781","Rural","Pr_13","Hombre","Ninguno","Sierra","5","2","Lastrado","Rancho","Zinc","Tierra","Cania","Regular","Regular","Malo","Gas","Municipio","ExclusivoHogar","PozoSeptico","Pozo","Otro","Ebotellada","NO","NO","SI","NO","NO","NO","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"12806","Rural","Pr_15","Hombre","Ninguno","Oriente","1","5","Sendero","Casa","Zinc","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Queman","NoTiene","NoTiene","Rio","Otro","MananNoProteg","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","SI","DCI_1"
"15717","Urbano","Pr_19","Hombre","Ninguno","Oriente","3","7","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"17073","Rural","Pr_21","Mujer","Ninguno","Oriente","1","2","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Bueno","Bueno","Gas","Entierran","NoTiene","Letrina","Rio","Otro","RioAce","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","DCI_0"
"3999","Urbano","Pr_07","Hombre","ISSFA","Sierra","3","8","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"1451","Urbano","Pr_03","Mujer","Ninguno","Costa","3","8","Carretera","Casa","Zinc","Ceramica","Hormigon","Regular","Regular","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"4455","Urbano","Pr_07","Hombre","IESSGen","Sierra","3","8","Empedrado","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"11547","Rural","Pr_13","Hombre","Campesino","Sierra","3","6","Sendero","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Queman","ExclusivoHogar","PozoCiego","Tuberia","DentroVivienda","Repartidor","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"2535","Rural","Pr_05","Hombre","IESSGen","Costa","3","4","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Bueno","Regular","Gas","Queman","NoTiene","PozoCiego","Pozo","Otro","PozoNoProteg","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"13930","Rural","Pr_16","Mujer","Ninguno","Oriente","1","8","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","SI","SI","DCI_0"
"20362","Urbano","Pr_90","Hombre","IESSGen","Sierra","3","8","Carretera","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"2591","Rural","Pr_05","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"2141","Rural","Pr_04","Mujer","Ninguno","Costa","3","4","Empedrado","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"4364","Urbano","Pr_07","Mujer","IESSGen","Sierra","3","4","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","NO","SI","SI","SI","SI","SI","SI","DCI_0"
"19631","Urbano","Pr_23","Hombre","Ninguno","Costa","3","8","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","Pozo","DentroVivienda","PozoEntubado","SI","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"8001","Rural","Pr_10","Hombre","Ninguno","Costa","1","2","Lastrado","Casa","Asbesto","Cemento","Hormigon","Malo","Regular","Regular","Lenia","Municipio","ExclusivoHogar","PozoSeptico","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"7858","Rural","Pr_10","Hombre","Ninguno","Costa","3","4","Lastrado","Casa","Asbesto","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","NoTiene","NoTiene","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"4522","Urbano","Pr_07","Hombre","Ninguno","Sierra","3","4","Lastrado","Casa","Zinc","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","SI","SI","SI","NO","SI","SI","NO","NO","SI","SI","DCI_0"
"9436","Urbano","Pr_12","Hombre","IESSGen","Sierra","3","2","Lastrado","Depar","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"16560","Urbano","Pr_21","Mujer","IESSGen","Oriente","3","2","Lastrado","Cuarto","Zinc","Cemento","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","Compartido","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"16146","Rural","Pr_20","Hombre","IESSGen","Insular","3","2","Carretera","Depar","Hormigon","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"16071","Rural","Pr_20","Mujer","IESSGen","Insular","3","3","Carretera","Casa","Hormigon","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"8781","Urbano","Pr_11","Hombre","Ninguno","Costa","3","8","Lastrado","Covacha","Zinc","Tierra","Adobe","Regular","Malo","Malo","Gas","Municipio","ExclusivoHogar","NoTiene","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"19885","Urbano","Pr_24","Mujer","Ninguno","Sierra","3","6","Carretera","Choza","Asbesto","Cemento","Cania","Regular","Regular","Regular","Gas","Municipio","NoTiene","NoTiene","RedPublica","TuberiaFueraDentro","Red","NO","SI","SI","NO","NO","NO","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"8108","Rural","Pr_10","Mujer","Ninguno","Costa","1","8","Lastrado","Casa","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","NO","NO","SI","SI","SI","SI","SI","NO","SI","SI","SI","DCI_0"
"16160","Rural","Pr_20","Hombre","IESSGen","Insular","3","2","Carretera","Depar","Asbesto","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","DCI_0"
